DATE,ICNSA
1967-01-07,346000
1967-01-14,334000
1967-01-21,277000
1967-01-28,252000
1967-02-04,274000
1967-02-11,276000
1967-02-18,247000
1967-02-25,248000
1967-03-04,326000
1967-03-11,240000
1967-03-18,225000
1967-03-25,215000
1967-04-01,223000
1967-04-08,251000
1967-04-15,289000
1967-04-22,218000
1967-04-29,216000
1967-05-06,221000
1967-05-13,188000
1967-05-20,177000
1967-05-27,170000
1967-06-03,175000
1967-06-10,188000
1967-06-17,176000
1967-06-24,178000
1967-07-01,206000
1967-07-08,322000
1967-07-15,309000
1967-07-22,282000
1967-07-29,243000
1967-08-05,250000
1967-08-12,193000
1967-08-19,174000
1967-08-26,160000
1967-09-02,163000
1967-09-09,156000
1967-09-16,165000
1967-09-23,155000
1967-09-30,154000
1967-10-07,195000
1967-10-14,159000
1967-10-21,181000
1967-10-28,174000
1967-11-04,204000
1967-11-11,201000
1967-11-18,209000
1967-11-25,200000
1967-12-02,228000
1967-12-09,258000
1967-12-16,241000
1967-12-23,289000
1967-12-30,332000
1968-01-06,357000
1968-01-13,373000
1968-01-20,293000
1968-01-27,242000
1968-02-03,308000
1968-02-10,257000
1968-02-17,214000
1968-02-24,199000
1968-03-02,198000
1968-03-09,208000
1968-03-16,179000
1968-03-23,175000
1968-03-30,165000
1968-04-06,184000
1968-04-13,167000
1968-04-20,165000
1968-04-27,216000
1968-05-04,180000
1968-05-11,164000
1968-05-18,156000
1968-05-25,148000
1968-06-01,139000
1968-06-08,149000
1968-06-15,154000
1968-06-22,152000
1968-06-29,173000
1968-07-06,266000
1968-07-13,242000
1968-07-20,216000
1968-07-27,238000
1968-08-03,235000
1968-08-10,222000
1968-08-17,160000
1968-08-24,148000
1968-08-31,139000
1968-09-07,135000
1968-09-14,141000
1968-09-21,142000
1968-09-28,143000
1968-10-05,153000
1968-10-12,151000
1968-10-19,151000
1968-10-26,152000
1968-11-02,161000
1968-11-09,174000
1968-11-16,196000
1968-11-23,211000
1968-11-30,180000
1968-12-07,223000
1968-12-14,233000
1968-12-21,243000
1968-12-28,333000
1969-01-04,290000
1969-01-11,337000
1969-01-18,265000
1969-01-25,236000
1969-02-01,250000
1969-02-08,248000
1969-02-15,219000
1969-02-22,199000
1969-03-01,206000
1969-03-08,195000
1969-03-15,179000
1969-03-22,158000
1969-03-29,157000
1969-04-05,170000
1969-04-12,187000
1969-04-19,168000
1969-04-26,151000
1969-05-03,150000
1969-05-10,157000
1969-05-17,141000
1969-05-24,138000
1969-05-31,135000
1969-06-07,148000
1969-06-14,145000
1969-06-21,155000
1969-06-28,177000
1969-07-05,267000
1969-07-12,271000
1969-07-19,246000
1969-07-26,221000
1969-08-02,223000
1969-08-09,210000
1969-08-16,168000
1969-08-23,154000
1969-08-30,144000
1969-09-06,133000
1969-09-13,149000
1969-09-20,147000
1969-09-27,147000
1969-10-04,159000
1969-10-11,168000
1969-10-18,155000
1969-10-25,171000
1969-11-01,174000
1969-11-08,206000
1969-11-15,196000
1969-11-22,230000
1969-11-29,219000
1969-12-06,247000
1969-12-13,264000
1969-12-20,289000
1969-12-27,320000
1970-01-03,344000
1970-01-10,429000
1970-01-17,386000
1970-01-24,316000
1970-01-31,293000
1970-02-07,324000
1970-02-14,308000
1970-02-21,285000
1970-02-28,241000
1970-03-07,270000
1970-03-14,258000
1970-03-21,233000
1970-03-28,236000
1970-04-04,250000
1970-04-11,300000
1970-04-18,339000
1970-04-25,299000
1970-05-02,278000
1970-05-09,279000
1970-05-16,242000
1970-05-23,231000
1970-05-30,224000
1970-06-06,234000
1970-06-13,242000
1970-06-20,245000
1970-06-27,247000
1970-07-04,309000
1970-07-11,369000
1970-07-18,353000
1970-07-25,329000
1970-08-01,293000
1970-08-08,278000
1970-08-15,257000
1970-08-22,238000
1970-08-29,220000
1970-09-05,240000
1970-09-12,207000
1970-09-19,247000
1970-09-26,256000
1970-10-03,284000
1970-10-10,287000
1970-10-17,259000
1970-10-24,280000
1970-10-31,283000
1970-11-07,333000
1970-11-14,307000
1970-11-21,333000
1970-11-28,354000
1970-12-05,378000
1970-12-12,370000
1970-12-19,354000
1970-12-26,451000
1971-01-02,443000
1971-01-09,500000
1971-01-16,452000
1971-01-23,399000
1971-01-30,353000
1971-02-06,375000
1971-02-13,333000
1971-02-20,286000
1971-02-27,289000
1971-03-06,306000
1971-03-13,275000
1971-03-20,260000
1971-03-27,261000
1971-04-03,267000
1971-04-10,278000
1971-04-17,257000
1971-04-24,248000
1971-05-01,237000
1971-05-08,260000
1971-05-15,230000
1971-05-22,231000
1971-05-29,231000
1971-06-05,232000
1971-06-12,244000
1971-06-19,249000
1971-06-26,247000
1971-07-03,288000
1971-07-10,335000
1971-07-17,367000
1971-07-24,342000
1971-07-31,340000
1971-08-07,362000
1971-08-14,282000
1971-08-21,252000
1971-08-28,228000
1971-09-04,268000
1971-09-11,219000
1971-09-18,230000
1971-09-25,236000
1971-10-02,238000
1971-10-09,280000
1971-10-16,233000
1971-10-23,251000
1971-10-30,241000
1971-11-06,297000
1971-11-13,289000
1971-11-20,291000
1971-11-27,284000
1971-12-04,372000
1971-12-11,348000
1971-12-18,329000
1971-12-25,340000
1972-01-01,405000
1972-01-08,479000
1972-01-15,395000
1972-01-22,347000
1972-01-29,326000
1972-02-05,342000
1972-02-12,318000
1972-02-19,279000
1972-02-26,252000
1972-03-04,263000
1972-03-11,257000
1972-03-18,241000
1972-03-25,231000
1972-04-01,224000
1972-04-08,271000
1972-04-15,237000
1972-04-22,223000
1972-04-29,214000
1972-05-06,234000
1972-05-13,218000
1972-05-20,210000
1972-05-27,209000
1972-06-03,198000
1972-06-10,224000
1972-06-17,227000
1972-06-24,240000
1972-07-01,327000
1972-07-08,364000
1972-07-15,367000
1972-07-22,299000
1972-07-29,266000
1972-08-05,256000
1972-08-12,220000
1972-08-19,203000
1972-08-26,195000
1972-09-02,192000
1972-09-09,178000
1972-09-16,196000
1972-09-23,193000
1972-09-30,192000
1972-10-07,233000
1972-10-14,202000
1972-10-21,214000
1972-10-28,196000
1972-11-04,242000
1972-11-11,236000
1972-11-18,280000
1972-11-25,238000
1972-12-02,268000
1972-12-09,317000
1972-12-16,323000
1972-12-23,327000
1972-12-30,338000
1973-01-06,345000
1973-01-13,412000
1973-01-20,324000
1973-01-27,267000
1973-02-03,285000
1973-02-10,276000
1973-02-17,242000
1973-02-24,220000
1973-03-03,233000
1973-03-10,227000
1973-03-17,212000
1973-03-24,209000
1973-03-31,193000
1973-04-07,244000
1973-04-14,212000
1973-04-21,211000
1973-04-28,194000
1973-05-05,214000
1973-05-12,198000
1973-05-19,189000
1973-05-26,190000
1973-06-02,173000
1973-06-09,210000
1973-06-16,198000
1973-06-23,206000
1973-06-30,215000
1973-07-07,309000
1973-07-14,270000
1973-07-21,259000
1973-07-28,265000
1973-08-04,262000
1973-08-11,238000
1973-08-18,207000
1973-08-25,190000
1973-09-01,180000
1973-09-08,177000
1973-09-15,186000
1973-09-22,187000
1973-09-29,191000
1973-10-06,210000
1973-10-13,207000
1973-10-20,208000
1973-10-27,200000
1973-11-03,230000
1973-11-10,277000
1973-11-17,261000
1973-11-24,237000
1973-12-01,299000
1973-12-08,345000
1973-12-15,340000
1973-12-22,429000
1973-12-29,461000
1974-01-05,405000
1974-01-12,584000
1974-01-19,465000
1974-01-26,373000
1974-02-02,381000
1974-02-09,459000
1974-02-16,352000
1974-02-23,296000
1974-03-02,313000
1974-03-09,310000
1974-03-16,293000
1974-03-23,285000
1974-03-30,279000
1974-04-06,288000
1974-04-13,278000
1974-04-20,256000
1974-04-27,235000
1974-05-04,243000
1974-05-11,249000
1974-05-18,238000
1974-05-25,246000
1974-06-01,209000
1974-06-08,267000
1974-06-15,255000
1974-06-22,266000
1974-06-29,285000
1974-07-06,350000
1974-07-13,351000
1974-07-20,325000
1974-07-27,333000
1974-08-03,340000
1974-08-10,318000
1974-08-17,269000
1974-08-24,260000
1974-08-31,259000
1974-09-07,253000
1974-09-14,271000
1974-09-21,283000
1974-09-28,279000
1974-10-05,325000
1974-10-12,358000
1974-10-19,324000
1974-10-26,357000
1974-11-02,375000
1974-11-09,435000
1974-11-16,450000
1974-11-23,532000
1974-11-30,524000
1974-12-07,693000
